iter	Logloss
0	0.5236179292
1	0.3974871533
2	0.3032227908
3	0.2320718991
4	0.1780640654
5	0.1337222147
6	0.1039432089
7	0.08225098451
8	0.06437817646
9	0.0520021182
10	0.0418159921
11	0.03489404934
12	0.02929109139
13	0.02459812171
14	0.02093486601
15	0.01806507956
16	0.01595710229
17	0.01409591137
18	0.01259709501
19	0.01142797899
20	0.01051224607
21	0.009833243143
22	0.009193883336
23	0.008677008049
24	0.008295819937
25	0.007908327778
26	0.007595794856
27	0.007289569037
28	0.007074767564
29	0.006853272291
30	0.006663427935
31	0.006494154839
32	0.006338707239
33	0.006185539688
34	0.006063601968
35	0.005958012814
36	0.005873468354
37	0.005786794397
38	0.005713504599
39	0.005645848245
40	0.005592520242
41	0.005539954167
42	0.005496649286
43	0.005454039844
44	0.005403573844
45	0.005348426235
46	0.005313161325
47	0.00527993306
48	0.005240308278
49	0.005211470454
50	0.005182565762
51	0.005166261138
52	0.005140537509
53	0.005123380399
54	0.005108009652
55	0.005088089505
56	0.005068321821
57	0.005051387481
58	0.005032364146
59	0.005020428948
60	0.004999958182
61	0.004984100627
62	0.004961572964
63	0.00494931259
64	0.004935503525
65	0.004917419799
66	0.004906881976
67	0.004886491453
68	0.004874778642
69	0.004862114378
70	0.004855076681
71	0.004838449557
72	0.004828781416
73	0.004808370641
74	0.004796854235
75	0.004786080268
76	0.004779685279
77	0.004768860874
78	0.004756148464
79	0.004743678312
80	0.004725364173
81	0.004720801783
82	0.004707049652
83	0.004696916484
84	0.0046879434
85	0.004677723493
86	0.004660080339
87	0.004644326335
88	0.004625595315
89	0.004618356245
90	0.004606058425
91	0.004596866775
92	0.00458813251
93	0.004579545739
94	0.004573587502
95	0.004555056325
96	0.004545003017
97	0.004530678486
98	0.004517748656
99	0.004498978278
100	0.004484188338
101	0.004470902381
102	0.004454595847
103	0.00444079901
104	0.004435964176
105	0.004432154541
106	0.004426884866
107	0.004413996685
108	0.004406149679
109	0.004395469329
110	0.004387800387
111	0.004383961712
112	0.004374251921
113	0.004364041566
114	0.004357061949
115	0.004350680716
116	0.004344284963
117	0.00433179112
118	0.004320124927
119	0.004311697496
120	0.004298762317
121	0.004292810575
122	0.004286667014
123	0.004274920578
124	0.00427068107
125	0.004261140554
126	0.004257311432
127	0.004252776935
128	0.004242573076
129	0.004236508994
130	0.004227577179
131	0.004216978982
132	0.004208726558
133	0.004200364468
134	0.004193860578
135	0.00418342325
136	0.004179868482
137	0.004172217881
138	0.004167327258
139	0.004154493337
140	0.004147735344
141	0.004140484429
142	0.004129582074
143	0.004120064102
144	0.004114787166
145	0.004107612291
146	0.004095745872
147	0.004091734102
148	0.004080266224
149	0.004066734953
150	0.004059137083
151	0.004049509063
152	0.004038235297
153	0.004031537677
154	0.004025401376
155	0.004015233435
156	0.004010856368
157	0.004005261517
158	0.004002760226
159	0.003997518063
160	0.003989723788
161	0.003981612744
162	0.003973076794
163	0.003967635551
164	0.003962695636
165	0.003952409623
166	0.003947083777
167	0.003946143787
168	0.003940523717
169	0.003935725565
170	0.003929755864
171	0.003924772389
172	0.003920353289
